ID,HL
2,134.2892261
7,27.28835102
8,58.50608386
9,48.16305365
21,53.68863309
62,114.0307072
67,141.6372285
118,30.1929966
164,28.61725867
183,108.6687341
186,48.68905638
187,80.65794569
199,2.264264331
202,15.16995269
210,21.0890588
237,60.30569497
249,31.80857858
277,131.6886568
294,9.827830484
301,278.6985384
327,66.69725605
354,175.3858662
364,55.26563184
387,6.209843387
407,53.17175514
420,45.56563856
429,18.17465097
467,16.44362749
488,9.485796347
503,103.4024236
524,67.09697369
530,67.08649386
551,17.13831103
555,49.9494607
557,20.81766322
565,5.798447454
571,17.58732624
608,35.92863581
617,21.92989787
619,17.51081706
621,36.26562482
635,3.925990521
668,5.313992631
685,12.75039193
727,121.2981034
736,10.88171135
767,2.572398587
770,45.04380908
774,105.3919992
796,83.81700319
804,9.948725547
831,130.0234286
839,117.8485039
840,52.36395478
843,198.8048184
854,50.58235687
858,13.10115886
877,144.0737966
879,16.98208908
901,5.61541094
904,123.7104844
909,10.58166155
960,24.39678513
977,29.26653486
1023,40.22904744
1024,22.53775159
1028,10.32845091
1039,11.08048097
1073,22.0017011
1097,4.571062343
1099,15.61876198
1109,20.17642133
1112,7.168939733
1134,29.64338535
1135,98.22097015
1148,10.13721511
1189,95.14541227
1209,53.71800965
1240,2.794914733
1255,81.88060188
1259,46.36582434
1276,16.3979544
1280,4.267229999
1307,67.68788142
1309,53.83219546
1321,32.2069953
1344,176.5974427
1365,42.47473298
1377,12.90876159
1388,17.3725926
1404,5.854454629
1406,3.723044241
1421,32.72118889
1434,94.7101637
1452,15.17127955
1461,6.356211873
1503,40.43687581
1521,77.12464939
1524,79.62286659
1540,5.453376494
1556,86.55226866
1559,49.67984881
1562,42.31259867
1563,107.0975472
1572,24.16367248
1606,74.84480365
1607,179.8800655
1617,79.41014791
1624,8.965933412
1652,4.240828062
1653,16.62273627
1654,130.0240609
1655,226.2681302
1660,4.605517263
1696,35.48332657
1702,75.38742686
1710,47.56574627
1756,114.7807989
1761,99.90992706
1765,59.30924421
1792,12.88967016
1802,54.18176924
1817,11.02195702
1853,17.22980059
1865,22.4328666
1920,130.183985
1925,55.22797682
1927,5.813232604
1930,5.272695601
1938,55.5655363
1949,180.0805699
1958,42.27467183
1960,126.8733198
1962,54.91251438
2029,234.6018128
2030,44.08978459
2037,242.1011669
2040,25.97209481
2043,35.52507148
2064,101.7899901
2073,17.50177936
2131,38.26543908
2144,6.214106396
2211,35.49083697
2242,29.56910632
2250,209.9098739
2255,8.173736464
2256,25.89883073
2296,70.69899997
2299,10.53779815
2301,51.09268247
2302,7.00037511
2330,13.68256669
2332,114.8206451
2333,28.37876598
2342,6.541969874
2345,15.3932101
2358,12.83481884
2394,87.88501049
2414,17.62991519
2415,8.135800333
2425,38.98236258
2431,62.18119377
2438,3.766581349
2452,47.74069457
2455,37.77754966
2457,174.3543306
2459,44.60511691
2517,13.05235484
2534,49.8226271
2552,10.49369588
2566,113.5894248
2574,10.42284269
2589,21.12408654
2603,207.967446
2613,24.03143584
2628,14.37482143
2675,10.24773813
2676,133.2123978
2681,7.753219366
2688,34.64479703
2713,34.68135735
2714,6.815264039
2741,33.20054885
2751,40.30211319
2766,3.303109889
2768,251.573326
2801,36.31915278
2802,14.04382795
2835,17.08033152
2840,82.90781034
2891,8.366839269
2895,57.97589924
2903,44.30389333
2939,49.8158767
2959,70.31215037
2961,8.676440056
2965,27.46138211
2981,85.23170548
2987,79.90871029
2994,3.302075704
2996,54.62299124
3034,16.62231046
3049,106.6882637
3058,8.686267954
3065,190.837663
3080,4.799306566
3081,108.9467587
3095,128.2954059
3097,158.6416288
3101,174.5664014
3121,191.1015107
3140,5.019951522
3147,18.56619642
3157,57.21385654
3166,121.6945069
3172,20.78867257
3173,105.832741
3186,16.48254306
3210,7.999564226
3211,6.686648168
3215,28.80283963
3230,4.663037996
3232,16.29504785
3239,80.43045454
3247,9.746446003
3256,88.30670866
3272,15.80952238
3292,20.68342325
