ID,HL
2,124.9077165
7,30.11515562
8,55.043367
9,42.56106252
21,61.53084633
62,97.56427023
67,149.8274006
118,26.37231595
164,27.57653432
183,92.59859418
186,48.60481566
187,73.61215841
199,3.113556733
202,14.31051718
210,20.32241486
237,63.3644333
249,27.19030428
277,109.7884193
294,9.543235682
327,68.18352346
364,48.06206647
387,6.368096701
407,50.57536007
420,42.10983846
429,18.10328246
467,15.48263003
488,9.884695083
503,98.23365571
524,68.06126345
530,69.24407578
551,16.80497203
555,48.9278957
557,20.40779207
565,6.227081379
571,18.35342417
608,37.32397788
617,21.4849179
619,16.68755857
621,34.91334552
635,4.91709451
668,6.030230146
685,12.22201839
727,94.56526937
736,10.48553625
767,3.529116792
770,43.55665568
774,84.80804857
796,81.46684211
804,10.1649906
831,120.7521337
839,111.054227
840,46.71966307
843,156.627868
854,55.08177995
858,12.28773846
877,132.8362779
879,15.85659194
901,5.843255974
904,120.9934261
909,10.02128969
960,24.60003953
977,26.61884485
1023,34.95395988
1024,21.91169839
1028,10.06165141
1039,11.04068907
1073,20.32630186
1097,5.084619915
1099,15.86156184
1109,18.51357196
1112,7.326454047
1134,30.0122541
1135,88.12723974
1148,9.818011708
1189,98.24641465
1209,54.82682642
1240,3.579267048
1255,81.99729998
1259,44.26810025
1276,16.21036764
1280,5.120756305
1307,75.27698081
1309,63.27473417
1321,33.36175353
1365,36.82526337
1377,13.9686521
1388,15.14489547
1404,6.076817085
1406,4.521761143
1421,35.42603116
1434,77.50436011
1452,15.16313629
1461,6.611955528
1503,37.35765545
1521,120.9267455
1524,74.37144421
1540,6.001648131
1556,79.80023096
1559,51.54520515
1562,38.59405714
1563,98.44187484
1572,23.15762988
1606,69.10875658
1617,79.31281572
1624,9.456803966
1652,4.778517277
1653,16.70535035
1654,120.8131421
1660,5.33135805
1696,35.74762261
1702,66.93347662
1710,45.66387624
1756,138.0104108
1761,101.6553401
1765,55.92350391
1792,13.11812861
1802,44.05428486
1817,10.92824327
1853,15.59902742
1865,23.99755132
1920,145.3612742
1925,48.73778621
1927,6.1142536
1930,5.909759135
1938,56.63299976
1958,40.16003593
1960,122.5562467
1962,47.96418063
2030,46.90379041
2037,183.4871316
2040,25.33678325
2043,35.40053589
2064,97.46376959
2073,16.52629797
2131,32.93786961
2144,6.90524438
2211,35.4849619
2242,22.4395719
2255,8.242241963
2256,25.00200628
2296,67.66058081
2299,11.18914617
2301,52.99985633
2302,7.080609089
2330,13.9625961
2332,102.0679814
2333,26.43559
2342,7.250705416
2345,14.35458835
2358,12.80720447
2394,83.27990091
2414,16.57812155
2415,8.016692041
2425,39.33204349
2431,70.79759916
2438,4.742110985
2452,53.25377358
2455,35.64269457
2457,165.4856103
2459,39.96448581
2517,11.98568223
2534,51.174215
2552,10.17754995
2566,100.6562058
2574,9.268801825
2589,19.76867419
2603,164.9907372
2613,23.68117665
2628,14.17578971
2675,9.439944612
2676,133.9584924
2681,7.452702877
2688,29.48458781
2713,30.89550456
2714,6.959682748
2741,32.90541728
2751,40.69145458
2766,4.237372113
2801,35.40939712
2802,13.53379913
2835,15.37802558
2840,82.89834799
2891,8.374398867
2895,59.94460045
2903,47.66989859
2939,49.97767665
2959,68.85708966
2961,8.295112503
2965,25.81842386
2981,84.25000282
2987,69.1203805
2994,4.249644825
2996,44.77236914
3034,16.10990509
3049,85.63397269
3058,9.044859409
3065,144.7886816
3080,5.304823128
3081,95.43674871
3095,109.2340616
3097,131.3500096
3101,174.3715036
3121,137.5091307
3140,5.738935571
3147,18.16521582
3157,49.59204464
3166,137.1246978
3172,17.71619394
3173,87.33412682
3186,16.81732241
3210,9.059217537
3211,6.591277302
3215,28.76694144
3230,5.733138261
3232,14.39935372
3239,52.34276853
3247,9.898077186
3256,71.42855836
3272,14.5841223
3292,19.65821591
3318,13.4033309
3338,36.52923076
3342,8.442841084
3349,111.1498584
3352,56.60690953
3358,5.674163884
3376,30.86983629
3386,48.78420194
3392,65.58981547
3401,55.94602669
3404,19.57146991
3408,68.27101782
3419,33.84753909
3429,9.713578576
3457,4.652662245
3464,17.8626677
3465,5.679037229
3479,28.53340185
3522,43.45481331
3529,9.668611484
3550,43.81341044
3565,18.59316629
3585,74.87590074
3587,52.06238853
3589,24.54753374
3594,5.265066143
3598,61.0699948
3611,9.181684714
3642,52.99443483
3651,91.74392441
3658,43.50420088
3662,25.30138613
