ID,half_life
490,150.7084092
493,NA
495,6.749069193
496,102.9007859
497,157.815826
498,64.54007225
499,61.12549677
500,NA
501,NA
502,173.193788
503,88.68487421
504,NA
505,NA
507,20.92042824
508,7.467400103
509,6.306194801
511,NA
512,62.78035016
514,NA
516,153.3691065
518,NA
519,139.5023434
520,NA
521,NA
522,NA
524,55.49596517
526,39.01755978
527,NA
528,11.879239
529,59.96438718
530,70.78530249
533,153.8511988
534,NA
536,NA
537,NA
538,27.71918875
539,48.05670267
540,228.0864556
541,429.3263316
542,NA
544,NA
545,274.6353866
546,9.791014074
547,NA
548,102.5250092
549,43.46479724
550,170.8347041
551,16.22730741
552,NA
553,NA
554,142.961195
555,70.33901723
556,NA
557,17.19619192
558,NA
559,287.7879002
560,NA
562,97.0716371
565,4.275055418
566,NA
567,80.20569753
569,53.39588931
570,156.1595791
571,NA
572,15.89247921
573,242.1704701
574,97.65238559
575,96.1636192
576,161.107751
577,228.228195
578,NA
579,76.51485616
580,218.9212373
581,89.65079211
583,NA
584,NA
585,29.55173084
586,3.2735594
587,153.4964677
588,41.06181087
589,45.78985585
590,77.94172527
591,NA
592,NA
593,NA
594,7.122932902
595,53.62138583
596,NA
598,15.51918871
599,236.9812398
600,44.2463334
601,NA
602,150.6605224
603,NA
604,23.68915598
605,138.7836089
606,49.84361236
607,NA
608,32.47573464
609,NA
610,134.0580101
611,47.76146064
612,48.52018322
613,13.20660811
614,36.05174479
615,NA
617,22.66977856
618,NA
619,64.46290437
620,146.6474584
621,36.22129287
622,NA
623,55.00045502
626,148.1163673
627,NA
628,75.45542151
629,198.2149639
630,119.6270505
631,309.8678092
633,52.25124321
634,NA
635,116.4591187
636,9.792296504
637,65.15461203
639,93.83070087
640,53.56992494
641,NA
642,NA
643,59.66590823
644,95.17160427
646,213.8490028
647,NA
648,44.58428603
649,NA
650,7.7374339
651,202.7386568
653,NA
654,21.4494121
655,NA
656,43.52384585
658,25.88757556
659,90.52796912
660,39.18331962
661,194.2639304
662,21.14985658
663,NA
664,39.81824779
665,NA
666,NA
667,270.6331747
668,5.515473929
670,154.1651778
671,23.19264419
673,104.375122
674,232.926128
675,35.76989343
676,11.81409949
678,NA
679,NA
680,15.48228792
681,40.92369714
683,67.35095795
684,29.40866521
685,11.52392952
686,82.6277726
687,95.51007528
688,172.9664398
689,NA
690,8.994369897
691,75.83603268
693,NA
694,150.3064103
695,11.95352917
696,2.957793064
697,NA
698,142.7959296
699,229.262264
700,17.28253002
701,221.6333093
702,185.3311831
703,NA
704,NA
705,58.27920356
706,11.49941253
707,NA
708,NA
709,36.28061115
710,104.7755567
711,60.01679209
712,NA
714,331.3276295
716,15.90137822
717,NA
718,41.90239197
719,16.39821391
720,NA
721,130.3743779
722,66.11180593
723,NA
724,105.9882574
725,NA
727,95.91052485
729,NA
730,NA
731,189.6763149
732,NA
733,NA
734,101.3566681
735,NA
736,10.2830088
737,NA
738,24.36971262
740,28.21730289
742,109.0611792
744,150.3219922
745,NA
746,NA
747,165.7843821
748,20.44586682
749,88.27703883
750,28.09654305
751,NA
752,75.37463944
753,206.7736308
755,NA
756,NA
757,10.8225257
758,NA
759,193.4091608
760,273.5541427
761,67.30174612
763,6.540307741
764,NA
766,NA
767,2.685739207
768,171.2018404
769,NA
770,39.17759833
771,102.8064705
773,38.09670048
774,86.64069816
775,NA
776,78.2667088
777,NA
778,51.84931218
779,NA
780,NA
781,12.96372122
782,43.14247477
783,25.24243858
784,317.1242538
785,NA
786,222.7380935
787,NA
788,NA
789,NA
790,22.70675125
791,NA
794,53.23264159
796,70.02337802
797,216.2921104
798,3.688288183
799,14.73469529
800,201.7589993
801,264.2791989
803,NA
804,11.40865441
805,237.9391801
806,295.6947007
807,62.32735908
810,NA
812,NA
814,125.5828721
816,39.60102757
818,10.36458491
819,100.2579092
821,NA
822,26.85003129
823,200.3404976
824,80.15088223
825,11.24978265
826,36.51155309
827,79.64445547
828,85.46434557
829,115.1248187
830,8.548929485
831,99.32224368
832,178.0044452
833,NA
834,12.19893986
835,8.122873071
836,78.58424614
837,26.84047938
838,135.8077913
839,50.62784247
840,43.97491834
841,NA
842,NA
843,95.87683803
844,NA
847,106.6575193
848,179.9027472
849,89.16940556
850,51.83995932
852,77.60423413
853,NA
854,36.5605535
856,125.3458403
857,NA
858,11.89570287
859,NA
860,210.5821052
861,223.0840809
863,246.0232016
864,NA
866,29.21715115
867,25.9565165
868,43.56054875
869,NA
870,237.7224304
871,46.73890517
872,61.92710856
873,NA
874,48.89743148
876,NA
877,124.0631395
878,NA
879,13.20793856
880,11.70492921
881,NA
882,17.10000776
883,NA
886,135.1648784
887,31.50291101
888,257.0092904
889,217.8934373
890,NA
891,52.95653947
892,233.6249659
893,110.4363335
894,208.5834252
895,NA
896,49.55784644
897,50.87724444
898,NA
899,30.77927298
900,40.95026956
901,93.87727743
902,86.79565975
903,95.74057349
904,71.23920863
905,143.9803867
906,NA
907,195.3662598
908,132.8669504
909,9.634159305
910,277.2862558
911,10.68063126
912,NA
913,20.93279775
914,129.7507581
915,NA
916,14.78293372
917,89.60720476
